dataset,formato,URLdataset,URLsezione,tracciaRecordAttributi,AttoConcessionePresenzaAttributo,DatiFiscaliBeneficiarioPresenzaAttributo,ImportoBeneficioPresenzaAttributo,LinkCurriculiumSoggettoPresenzaAttributo,ModalitaSeguitaPerIndividuazioneBeneficiarioPresenzaAttributo,NomeBeneficiarioPresenzaAttributo,ProgettoFinanziatoPresenzaAttributo,LinkProgettoFinanziatoPresenzaAttributo,FunzionarioResponsabileSussidioPresenzaAttributo,UfficioResponsabileSussidioPresenzaAttributo
http://trasparenza.nexacenter.org/id/AttiConcessioneAgrigento,http://trasparenza.nexacenter.org/id/Html_tabellare,http://www.comune.agrigento.it/index.php/component/content/article/226-sovvenzioni-contributi-sussidi-vantaggi-economi/2923-atti-di-concessione,http://www.contrasparenza.it/id11-arg126-det73532-Atti-di-concessione-%28art.-26%2C-c.-2-e-art.-27%29,"BENEFICIARIO , P.I. /C.F. , Importo , Norma o titolo , Numero e data di provvedimento , Struttura proponente Settore , Responsabile Procedimento , Modalità di individuazione ,	link",0,1,1,0,1,1,1,1,1,0
http://trasparenza.nexacenter.org/id/AttiConcessioneAlessandria,http://trasparenza.nexacenter.org/id/Html,http://www.comune.alessandria.it/flex/cm/pages/ServeBLOB.php/L/IT/IDPagina/10261,http://www.comune.alessandria.it/flex/cm/pages/ServeBLOB.php/L/IT/IDPagina/10261,"Nome e cognome del beneficiario, Dati fiscali del beneficiario, Importo,  Norma/titolo che legittima l'attribuzione, Nominativo dirigente responsabile del procedimento, Unità organizzativa responsabile del procedimento, Istruttoria (modalità di individuazione beneficiario)",1,1,1,0,1,1,0,0,1,1
http://trasparenza.nexacenter.org/id/AttiConcessioneAncona,http://trasparenza.nexacenter.org/id/Csv,http://comancona8.comune.ancona.it/ammaperta/atti_ges.aspx,http://comancona8.comune.ancona.it/ammaperta/,,1,1,1,0,0,1,1,0,0,0
http://trasparenza.nexacenter.org/id/AttiConcessioneAndria,http://trasparenza.nexacenter.org/id/Csv,http://www.comune.andria.bt.it/dett_at.asp?id=120,http://www.comune.andria.bt.it/at2.asp?id2=40,"Norma o Titolo,  Mod. Individ.,  Beneficiario,  Responsabile,  Imp. Beneficio,  Data Atto,  Link",1,1,1,0,1,1,0,0,1,0
http://trasparenza.nexacenter.org/id/AttiConcessioneAosta,http://trasparenza.nexacenter.org/id/Ods,http://trasparenza.partout.it/wrapper/download/4494,http://trasparenza.partout.it/wrapper/download/4494,,0,1,1,0,1,1,0,0,0,1
http://trasparenza.nexacenter.org/id/AttiConcessioneArezzo,http://trasparenza.nexacenter.org/id/Csv,http://www.comune.arezzo.it/il-comune/segreteria-generale/segreteria-generale/trasparenza-valutazione-merito/atti-di-concessione-1/copy_of_area-compensi/@@csv_export,http://www.comune.arezzo.it/il-comune/segreteria-generale/segreteria-generale/trasparenza-valutazione-merito/atti-di-concessione-1,"Titolo , Dati fiscali , Importo , Natura dell'importo ,	Norma ,	Altro ,	Ufficio ,	Responsabile procedimento , Modalità di affidamento , Data di pubblicazione ,	Note",0,1,1,0,1,1,0,0,1,1
http://trasparenza.nexacenter.org/id/AttiConcessioneAscoliPiceno,http://trasparenza.nexacenter.org/id/Odt,http://www.comuneap.gov.it/flex/cm/pages/ServeAttachment.php/L/IT/D/a%252F7%252Fc%252FD.fcef788682fdc19989bd/P/BLOB%3AID%3D5825,http://www.comuneap.gov.it/flex/cm/pages/ServeBLOB.php/L/IT/IDPagina/5825,"Nominativo beneficiario , Dati fiscali , Importo del vantaggio economico corrisposto , Norma o titolo a base dell’attribuzione , Ufficio responsabile del procedimento , Funzionario responsabile del procedimento",1,1,1,0,0,1,0,0,1,1
http://trasparenza.nexacenter.org/id/AttiConcessioneAsti,http://trasparenza.nexacenter.org/id/Csv,http://asti.etrasparenza.it/export_open_data_csv.php?id_criterio=127&id_oggetto=38&id_ente=15,,"Nominativo beneficiario,  Dati fiscali, Oggetto, Struttura organizzativa responsabile, Dirigente o funzionario responsabile, Data di riferimento, Importo, Note, Modalità seguita per l'individuazione, Atto di concessione, Progetto selezionato, Curriculum del soggetto beneficiario",1,1,1,1,1,1,1,1,1,1
http://trasparenza.nexacenter.org/id/AttiConcessioneAsti,http://trasparenza.nexacenter.org/id/Csv,http://asti.etrasparenza.it/export_open_data_csv.php?id_criterio=127&id_oggetto=38&id_ente=15,,"Nominativo beneficiario,  Dati fiscali, Oggetto, Struttura organizzativa responsabile, Dirigente o funzionario responsabile, Data di riferimento, Importo, Note, Modalità seguita per l'individuazione, Atto di concessione, Progetto selezionato, Curriculum del soggetto beneficiario",1,1,1,1,1,1,1,1,1,1
http://trasparenza.nexacenter.org/id/AttiConcessioneAsti,http://trasparenza.nexacenter.org/id/Csv,http://asti.etrasparenza.it/export_open_data_csv.php?id_criterio=127&id_oggetto=38&id_ente=15,,"Nominativo beneficiario,  Dati fiscali, Oggetto, Struttura organizzativa responsabile, Dirigente o funzionario responsabile, Data di riferimento, Importo, Note, Modalità seguita per l'individuazione, Atto di concessione, Progetto selezionato, Curriculum del soggetto beneficiario",1,1,1,1,1,1,1,1,1,1
http://trasparenza.nexacenter.org/id/AttiConcessioneAvellino,,,http://www.comune.avellino.it/amministrazionetrasparente/sovvenzioni/concessioni.php,,0,0,0,0,0,0,0,0,0,0
http://trasparenza.nexacenter.org/id/AttiConcessioneAvellino,,,http://www.comune.avellino.it/amministrazionetrasparente/sovvenzioni/concessioni.php,,0,0,0,0,0,0,0,0,0,0
http://trasparenza.nexacenter.org/id/AttiConcessioneBari,http://trasparenza.nexacenter.org/id/Html,http://www.comune.bari.it/portal/page/portal/bari/comune/amministrazioneTrasparente/sovvenzioniContributiCreditiSussidiCorrispettivi/attiDiConcessione,http://www.comune.bari.it/portal/page/portal/bari/comune/amministrazioneTrasparente/sovvenzioniContributiCreditiSussidiCorrispettivi/attiDiConcessione,,1,0,1,0,1,0,0,0,0,0
http://trasparenza.nexacenter.org/id/AttiConcessioneBarletta,http://trasparenza.nexacenter.org/id/Html_tabellare,http://www.comune.barletta.ba.it/retecivica/organiz/trasp/schede_liquid/procedura/index.php,http://www.comune.barletta.ba.it/retecivica/ammtrasp/12.sovvenzioni.html,"Data , nome dell'impresa o altro soggetto beneficiario , norma o titolo a base dell'attribuzione , settore ufficio dirigente-responsabile , modalità eseguita per l'individuazione del beneficiario , importo , albo/link",1,0,1,0,1,1,0,0,1,1
http://trasparenza.nexacenter.org/id/AttiConcessioneBelluno,,,http://www.comune.belluno.it/web/belluno/area-istituzionale/amministrazione-trasparente?p_p_id=ALFRESCO_MYPORTAL_CONTENT_PROXY_WAR_myportalportlet_INSTANCE_Yl0I&p_p_lifecycle=1&p_p_state=normal&p_p_mode=view&p_p_col_id=column-3&p_p_col_count=1&template=/r,,0,0,0,0,0,0,0,0,0,0
http://trasparenza.nexacenter.org/id/AttiConcessioneBelluno,,,http://www.comune.belluno.it/web/belluno/area-istituzionale/amministrazione-trasparente?p_p_id=ALFRESCO_MYPORTAL_CONTENT_PROXY_WAR_myportalportlet_INSTANCE_Yl0I&p_p_lifecycle=1&p_p_state=normal&p_p_mode=view&p_p_col_id=column-3&p_p_col_count=1&template=/r,,0,0,0,0,0,0,0,0,0,0
http://trasparenza.nexacenter.org/id/AttiConcessioneBelluno,,,http://www.comune.belluno.it/web/belluno/area-istituzionale/amministrazione-trasparente?p_p_id=ALFRESCO_MYPORTAL_CONTENT_PROXY_WAR_myportalportlet_INSTANCE_Yl0I&p_p_lifecycle=1&p_p_state=normal&p_p_mode=view&p_p_col_id=column-3&p_p_col_count=1&template=/r,,0,0,0,0,0,0,0,0,0,0
http://trasparenza.nexacenter.org/id/AttiConcessioneBelluno,,,http://www.comune.belluno.it/web/belluno/area-istituzionale/amministrazione-trasparente?p_p_id=ALFRESCO_MYPORTAL_CONTENT_PROXY_WAR_myportalportlet_INSTANCE_Yl0I&p_p_lifecycle=1&p_p_state=normal&p_p_mode=view&p_p_col_id=column-3&p_p_col_count=1&template=/r,,0,0,0,0,0,0,0,0,0,0
http://trasparenza.nexacenter.org/id/AttiConcessioneBelluno,,,http://www.comune.belluno.it/web/belluno/area-istituzionale/amministrazione-trasparente?p_p_id=ALFRESCO_MYPORTAL_CONTENT_PROXY_WAR_myportalportlet_INSTANCE_Yl0I&p_p_lifecycle=1&p_p_state=normal&p_p_mode=view&p_p_col_id=column-3&p_p_col_count=1&template=/r,,0,0,0,0,0,0,0,0,0,0
http://trasparenza.nexacenter.org/id/AttiConcessioneBelluno,,,http://www.comune.belluno.it/web/belluno/area-istituzionale/amministrazione-trasparente?p_p_id=ALFRESCO_MYPORTAL_CONTENT_PROXY_WAR_myportalportlet_INSTANCE_Yl0I&p_p_lifecycle=1&p_p_state=normal&p_p_mode=view&p_p_col_id=column-3&p_p_col_count=1&template=/r,,0,0,0,0,0,0,0,0,0,0
http://trasparenza.nexacenter.org/id/AttiConcessioneBenevento,http://trasparenza.nexacenter.org/id/Csv,http://www.comunebenevento.eu:8085/JSFService/faces/trasparenza/TRASP_visualizzazione.xhtml,http://www.comune.benevento.it/bn2_pagine/trasparenza/12Sovvenzioni/Atti_concessione.php,"ID, data pubblicazione, beneficiario, P/IVA, Importo, Modalità indiv., responsabile",1,1,1,0,1,1,0,0,0,1
http://trasparenza.nexacenter.org/id/AttiConcessioneBergamo,http://trasparenza.nexacenter.org/id/Xls,http://www.comune.bergamo.it/servizi/menu/dinamica.aspx?idArea=41289&idCat=42050&ID=50024,http://www.comune.bergamo.it/servizi/Menu/dinamica.aspx?idSezione=29195&idArea=41289&idCat=42050&ID=42050&TipoElemento=categoria,"ASSESSORATO , DIREZIONE / SERVIZIO , DIRIGENTE COMPETENTE , GENERALITA'  O RAGIONE SOCIALE DEL SOGGETTO BENEFICIARIO , CODICE FISCALE / PARTITA IVA , INDIRIZZO , OGGETTO , IMPORTO EROGATO , MANCATO INTROITO ,	Tipo e n°. Provvedimento , Data provvedimento , Fonti normative , Modalità seguita per l'individuazione del beneficiario , Numero P.G. della domanda o del progetto , File progetto o richiesta contributo",1,1,1,0,1,1,1,1,1,1
http://trasparenza.nexacenter.org/id/AttiConcessioneBiella,http://trasparenza.nexacenter.org/id/Csv,http://95.110.132.64/biellawebdelibere/AmministrazioneTrasparente.aspx?Tipo=0001,http://www.comune.biella.it/sito/index.php?atti-di-concessione,"Nominativo, CodiceFiscale, Partita Iva, Compenso, Oggetto, Atto, Servizio, ModalitaAcquisizione",1,1,1,0,1,1,1,0,0,0
http://trasparenza.nexacenter.org/id/AttiConcessioneBologna,http://trasparenza.nexacenter.org/id/Ods,http://www.comune.bologna.it/media/files/concessioni_agevolazioni__finanziarie_2013.ods,http://www.comune.bologna.it/trasparenza/contenuti/161:16296/,"IMPRESA, COGNOME/NOME LEGALE RAPPRESENTANTE, C.F. - P.IVA,	BANDO GRADUATORIA, IMPORTO FINANZIATO, DESCRIZIONE  PROGETTI DI IMPRESA",0,1,1,0,0,1,1,0,0,0
