"dataset","formato","URLdataset","URLsezione","tracciaRecordAttributi","UbicazionePresenzaAttributo","IndirizzoCompletoPresenzaAttributo","DatiCatastaliPresenzaAttributo","FinalitaUtilizzoPrezenza","SuperficiePresenzaAttributo","CanoneCorrispostoPresenzaAttributo","PeriodicitaCanonePresenzaAttributo","CanoneInizialePresenzaAttributo","DataStipulaContrattoPresenzaAttributo","DataScadenzaContrattoPresenzaAttributo","LocatorePresenzaAttributo","DescrizioneImmobilePresenzaAttributo","NonPubblicato","PubblicatoMale","URIdbpediaEnte"
"http://trasparenza.nexacenter.org/id/LocazioniPassiveAndria","http://trasparenza.nexacenter.org/id/Pdf_vettoriale","http://www.comune.andria.bt.it/public/tvm/65/fitti%20attivi%20e%20passivi%20anno%202013.pdf","http://www.comune.andria.bt.it/at1.asp?id1=14","Oggetto , note , competenza ,  pagato al  31/01/2014",1,0,0,0,0,1,0,0,0,0,0,0,,1,"http://it.dbpedia.org/resource/Andria"
"http://trasparenza.nexacenter.org/id/LocazioniPassiveAlessandria",,,"http://www.comune.alessandria.it/flex/cm/pages/ServeBLOB.php/L/IT/IDPagina/9624",,0,0,0,0,0,0,0,0,0,0,0,0,1,,"http://it.dbpedia.org/resource/Alessandria"
"http://trasparenza.nexacenter.org/id/LocazioniPassiveAvellino",,,"http://www.comune.avellino.it/amministrazionetrasparente/patrimonio/canoni.php",,0,0,0,0,0,0,0,0,0,0,0,0,1,,"http://it.dbpedia.org/resource/Avellino"
"http://trasparenza.nexacenter.org/id/LocazioniPassiveL-27Aquila",,,"http://trasparenza.comune.laquila.gov.it/pagina735_canoni-di-locazione-o-affitto.html",,0,0,0,0,0,0,0,0,0,0,0,0,1,,"http://it.dbpedia.org/resource/L%27Aquila"
"http://trasparenza.nexacenter.org/id/LocazioniPassiveTortol-C3-AC",,,"http://www.comuneditortoli.it/portale_comune/portale/dettagli_contenuto.asp?id_contenuto=323",,0,0,0,0,0,0,0,0,0,0,0,0,1,,"http://it.dbpedia.org/resource/Tortol%C3%AC"
"http://trasparenza.nexacenter.org/id/LocazioniPassiveAncona",,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,,"http://it.dbpedia.org/resource/Ancona"
"http://trasparenza.nexacenter.org/id/LocazioniPassiveVerbania",,,"http://www.comune.verbania.it/Amministrazione/Amministrazione-Trasparente/Beni-immobili-e-gestione-patrimonio/Canoni-di-locazione-o-affitto",,0,0,0,0,0,0,0,0,0,,0,0,1,,"http://it.dbpedia.org/resource/Verbania"
"http://trasparenza.nexacenter.org/id/LocazioniPassiveCuneo",,,,,0,0,0,0,0,0,0,0,0,,0,0,1,,"http://it.dbpedia.org/resource/Cuneo"
"http://trasparenza.nexacenter.org/id/LocazioniPassiveAgrigento","http://trasparenza.nexacenter.org/id/Pdf_vettoriale","http://www.comune.agrigento.it/download/atti_on_line/anno%202013/ELENCO_FITTI_PASSIVI.pdf","http://www.comune.agrigento.it/index.php/component/content/article/228-beni-immobili-e-gestione-patrimonio/2924-canoni-di-locazione-o-affitto","Proprietario dell'immobile , Ubicazione dell'immobile , Utilizzo , Contratto di locazione , Ultimo rinnovo , Inizio locazione , Durata , scadenza , Capitolo , Canone annuo , NOTE",1,1,0,1,0,1,0,0,1,1,1,0,,,"http://it.dbpedia.org/resource/Agrigento"
"http://trasparenza.nexacenter.org/id/LocazioniPassiveAosta","http://trasparenza.nexacenter.org/id/Ods","http://trasparenza.partout.it/enti/AOSTA/gestione-patrimonio/canoni-locazione-affitto/2367-canoni-di-locazione-o-affitto","http://trasparenza.partout.it/enti/AOSTA/gestione-patrimonio/canoni-locazione-affitto/2367-canoni-di-locazione-o-affitto","Denominazione, Indirizzo,  Tipologia, Titolo di proprietà/possesso, Canone di locazione/affitto (annuo), Locatore/locatario, Periodo: Dal, Periodo: Al",1,1,0,1,0,1,1,0,1,1,1,0,,,"http://it.dbpedia.org/resource/Aosta"
"http://trasparenza.nexacenter.org/id/LocazioniPassiveArezzo","http://trasparenza.nexacenter.org/id/Pdf_vettoriale","http://www.comune.arezzo.it/il-comune/direzione-generale/ufficio-patrimonio/trasparenza/immobili-in-locazione/files/elenco-immobili.pdf","http://www.comune.arezzo.it/il-comune/direzione-generale/ufficio-patrimonio/trasparenza/immobili-in-locazione","Tipo di Immobile e Ubicazione , Finalità di Utilizzo , Dimensioni , Canone annuo",1,1,0,1,1,1,1,0,0,0,0,1,,,"http://it.dbpedia.org/resource/Arezzo"
"http://trasparenza.nexacenter.org/id/LocazioniPassiveAscoliPiceno","http://trasparenza.nexacenter.org/id/Ods","http://www.comuneap.gov.it/flex/cm/pages/ServeAttachment.php/L/IT/D/3%252F8%252F6%252FD.087c8e6170b74b095a0b/P/BLOB%3AID%3D5830","http://www.comuneap.gov.it/flex/cm/pages/ServeBLOB.php/L/IT/IDPagina/5830","immobile , ubicazione , proprietario , destinazione , canone affitto",1,0,0,1,0,1,0,0,0,0,1,1,,,"http://it.dbpedia.org/resource/Ascoli_Piceno"
