"dataset","formato","URLdataset","URLsezione","tracciaRecordAttributi","UbicazionePresenzaAttributo","IndirizzoCompletoPresenzaAttributo","DatiCatastaliPresenzaAttributo","FinalitaUtilizzoPrezenza","SuperficiePresenzaAttributo","CanoneCorrispostoPresenzaAttributo","PeriodicitaCanonePresenzaAttributo","CanoneInizialePresenzaAttributo","DataStipulaContrattoPresenzaAttributo","DataScadenzaContrattoPresenzaAttributo","LocatarioPresenzaAttributo","DescrizioneImmobilePresenzaAttributo","NonPubblicato","PubblicatoMale","URIdbpediaEnte"
"http://trasparenza.nexacenter.org/id/LocazioniAttiveAndria","http://trasparenza.nexacenter.org/id/Pdf_vettoriale","http://www.comune.andria.bt.it/public/tvm/65/fitti%20attivi%20e%20passivi%20anno%202013.pdf","http://www.comune.andria.bt.it/at1.asp?id1=14","Oggetto , note , competenza ,  pagato al  31/01/2014",0,0,0,0,0,1,0,0,0,0,0,1,,1,"http://it.dbpedia.org/resource/Andria"
"http://trasparenza.nexacenter.org/id/LocazioniAttiveBiella","http://trasparenza.nexacenter.org/id/Pdf_vettoriale","http://www.comune.biella.it/sito/file/biellaonline/amministrazione-trasparente/canoni-percepiti-anno-2012.pdf","http://www.comune.biella.it/sito/index.php?canoni-di-locazione-e-affitto","denominazine, conto del tesoriere",0,0,0,0,0,0,0,0,0,0,0,1,,1,"http://it.dbpedia.org/resource/Biella"
"http://trasparenza.nexacenter.org/id/LocazioniAttiveTortol-C3-AC","http://trasparenza.nexacenter.org/id/Pdf_vettoriale","http://www.comuneditortoli.it/portale_comune/public/allegati_contenuti/455876403_CANONI_DI_LOCAZ__ALLOGGI_E_R_P.pdf","http://www.comuneditortoli.it/portale_comune/portale/elenco_contenuti.asp?id_sottosezione_2=157","Totale alloggi , Ubicazione , Importo annuale cumulativo",1,0,0,0,0,1,1,0,0,0,0,0,,1,"http://it.dbpedia.org/resource/Tortol%C3%AC"
"http://trasparenza.nexacenter.org/id/LocazioniAttiveAlessandria",,,"http://www.comune.alessandria.it/flex/cm/pages/ServeBLOB.php/L/IT/IDPagina/9624",,0,0,0,0,0,0,0,0,0,0,0,0,1,,"http://it.dbpedia.org/resource/Alessandria"
"http://trasparenza.nexacenter.org/id/LocazioniAttiveAvellino",,,"http://www.comune.avellino.it/amministrazionetrasparente/patrimonio/canoni.php",,0,0,0,0,0,0,0,0,0,0,0,0,1,,"http://it.dbpedia.org/resource/Avellino"
"http://trasparenza.nexacenter.org/id/LocazioniAttiveCuneo",,,"http://www.comune.cuneo.gov.it/amministrazione-trasparente/beni-immobili-e-gestione-patrimonio/patrimonio-immobiliare.html",,0,0,0,0,0,0,0,0,0,0,0,0,1,,"http://it.dbpedia.org/resource/Cuneo"
"http://trasparenza.nexacenter.org/id/LocazioniAttiveL-27Aquila",,,"http://trasparenza.comune.laquila.gov.it/pagina735_canoni-di-locazione-o-affitto.html",,0,0,0,0,0,0,0,0,0,0,0,0,1,,"http://it.dbpedia.org/resource/L%27Aquila"
"http://trasparenza.nexacenter.org/id/LocazioniAttiveRoma",,,"http://www.comune.roma.it/wps/portal/pcr?jppagecode=dip_imm_can_loc.wp",,0,0,0,0,0,0,0,0,0,0,0,0,1,,"http://it.dbpedia.org/resource/Roma"
"http://trasparenza.nexacenter.org/id/LocazioniAttiveAncona",,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,,"http://it.dbpedia.org/resource/Ancona"
"http://trasparenza.nexacenter.org/id/LocazioniAttiveAgrigento","http://trasparenza.nexacenter.org/id/Pdf_vettoriale","http://www.comune.agrigento.it/download/atti_on_line/anno%202013/ELENCO_FITTI_ATTIVI.pdf","http://www.comune.agrigento.it/index.php/component/content/article/228-beni-immobili-e-gestione-patrimonio/2924-canoni-di-locazione-o-affitto","Conduttore , Ubicazione dell'immobile , contratto iniziale , Ultimo Rinnovo del contratto , durata del contratto , scadenza , Canone annuo di locazione , Note",1,1,0,0,1,1,1,0,0,1,1,0,,,"http://it.dbpedia.org/resource/Agrigento"
