"dataset","formato","URLdataset","URLsezione","tracciaRecordAttributi","UbicazionePresenzaAttributo","IndirizzoCompletoPresenzaAttributo","DatiCatastaliPresenzaAttributo","SuperficiePresenzaAttributo","PeriodoCostruzionePresenzaAttributo","ValoreAttualePresenzaAttributo","NonPubblicato","PubblicatoMale","URIdbpediaEnte"
"http://trasparenza.nexacenter.org/id/PatrimonioImmobiliareAndria","http://trasparenza.nexacenter.org/id/Pdf_raster","http://www.comune.andria.bt.it/public/tvm/64/fabbricati%20demaniali.pdf","http://www.comune.andria.bt.it/at1.asp?id1=14","Unità Immobiliari , Valore , Quota , Residuo , Fondo",1,1,1,1,0,1,,1,"http://it.dbpedia.org/resource/Andria"
"http://trasparenza.nexacenter.org/id/PatrimonioImmobiliareBari","http://trasparenza.nexacenter.org/id/Pdf_vettoriale","http://www.comune.bari.it/portal/pls/portal/docs/1/1016840.PDF","http://www.comune.bari.it/portal/page/portal/bari/comune/amministrazioneTrasparente/beniImmobiliEGestionePatrimonio",,1,1,1,1,1,1,,1,"http://it.dbpedia.org/resource/Bari"
"http://trasparenza.nexacenter.org/id/PatrimonioImmobiliareReggionell-27Emilia","http://trasparenza.nexacenter.org/id/Pdf_vettoriale","http://www.municipio.re.it/retecivica/urp/retecivi.nsf/PESIdDoc/3E998892F7DE2FABC1257C700037F3B4/%24file/2013%20-%20Informazioni%20identificative%20degli%20immobili%20posseduti.pdf","http://www.municipio.re.it/retecivica/urp/retecivi.nsf/PESDocumentID/3E998892F7DE2FABC1257C700037F3B4?opendocument&FROM=lncdcntrttpssvdlCmn",,1,0,0,0,0,0,,1,"http://it.dbpedia.org/resource/Reggio_nell%27Emilia"
"http://trasparenza.nexacenter.org/id/PatrimonioImmobiliareAvellino",,,"http://www.comune.avellino.it/amministrazionetrasparente/patrimonio/patrimonio.php",,0,0,0,0,0,0,1,,"http://it.dbpedia.org/resource/Avellino"
"http://trasparenza.nexacenter.org/id/PatrimonioImmobiliareL-27Aquila",,,"http://trasparenza.comune.laquila.gov.it/pagina734_patrimonio-immobiliare.html",,0,0,0,0,0,0,1,,"http://it.dbpedia.org/resource/L%27Aquila"
"http://trasparenza.nexacenter.org/id/PatrimonioImmobiliareBiella",,,,,0,0,0,0,0,0,1,,"http://it.dbpedia.org/resource/Biella"
"http://trasparenza.nexacenter.org/id/PatrimonioImmobiliareAgrigento","http://trasparenza.nexacenter.org/id/Pdf_vettoriale","http://www.comune.agrigento.it/download/atti_on_line/anno%202013/elenco_beni_immobili.pdf","http://www.contrasparenza.it/id11-arg81-det73530-Patrimonio-immobiliare-%28art.-30%29","data inserimento , valore , Rif Arch , Descrizione , Foglio , Num , Sub , Cat , ID",0,0,1,0,0,1,,,"http://it.dbpedia.org/resource/Agrigento"
"http://trasparenza.nexacenter.org/id/PatrimonioImmobiliareAlessandria","http://trasparenza.nexacenter.org/id/Pdf_vettoriale","http://www.comune.alessandria.it/flex/cm/pages/ServeAttachment.php/L/IT/D/7%252F6%252Fc%252FD.cb5688efdd55fdd55661/P/BLOB%3AID%3D9623","http://www.comune.alessandria.it/flex/cm/pages/ServeBLOB.php/L/IT/IDPagina/9623","cod. viario, n.inv., via. n. civico, circoscrizione, uso, foglio, mappale, sub, piani, vani, mq lordi, categoria UTE, r.c. presunta, valore",1,1,1,1,0,1,,,"http://it.dbpedia.org/resource/Alessandria"
"http://trasparenza.nexacenter.org/id/PatrimonioImmobiliareArezzo","http://trasparenza.nexacenter.org/id/Pdf_vettoriale","http://www.comune.arezzo.it/il-comne/direzione-generale/ufficio-patrimonio/trasparenza/patrimonio-immobiliare/files/elenco-immobili-in-proprieta.pdf","http://www.comune.arezzo.it/il-comune/direzione-generale/ufficio-patrimonio/trasparenza/patrimonio-immobiliare","Tipologia , Categoria , Numero inventario , sub , Descrizione dell'immobile",1,0,0,0,0,0,,,"http://it.dbpedia.org/resource/Arezzo"
"http://trasparenza.nexacenter.org/id/PatrimonioImmobiliareAscoliPiceno","http://trasparenza.nexacenter.org/id/Ods","http://www.comuneap.gov.it/flex/cm/pages/ServeAttachment.php/L/IT/D/4%252Fa%252F6%252FD.11a0f875f2af21b84259/P/BLOB%3AID%3D5829","http://www.comuneap.gov.it/flex/cm/pages/ServeBLOB.php/L/IT/IDPagina/5829","immobile , ubicazione",1,0,0,0,0,0,,,"http://it.dbpedia.org/resource/Ascoli_Piceno"
